1	project_name	token_symbol	url
3190	Axia Protocol	AXIA	axia-protocol	
3191	Visor.Finance	VISR	visor-finance	
3192	Megatech	MGT	megatech	
3193	TRXDOWN	TRXDOWN	trxdown	
3194	tBTC	TBTC	tbtc	
3195	DailySwap Token	DAILYS	dailyswap-token	
3196	BITICA DIGITAL CRYPTO CURRENCY	BDCC	bdcc-bitica-coin	
3197	YFIDOWN	YFIDOWN	yfidown	
3198	SportX	SX	sportx	
3199	XLMDOWN	XLMDOWN	xlmdown	
3200	Simbcoin Swap	SMBSWAP	simbcoin-swap	
3201	GSPI Shopping.io Governance	GSPI	gspi-governance	
3202	Witch Token	WITCH	witch-token	
3203	Bitcoin Vault	BTCV	bitcoin-vault	
3204	Snowball	SNOB	snowball-finance	
3205	PACT community token	PACT	pact-community-token	
3206	Oxbull Solana	OXS	oxbull-solana	
3207	Olive.Cash	OLIVE	olive-cash	
3208	Wrapped KuCoin Token	WKCS	wrapped-kucoin-token	
3209	Maxonrow	MXW	maxonrow	
3210	ArbiNYAN	NYAN	arbinyan	
3211	TopChain	TOPC	topchain	
3212	Moonie NFT	MNY	moonie-nft	
3213	HUPAYX	HPX	hupayx	
3214	MacaronSwap	MCRN	macaronswap	
3215	Dopex Rebate Token	RDPX	dopex-rdpx	
3216	BitcoinVend	BCVT	bitcoinvend	
3217	Glimpse	GLMS	glimpse	
3218	NFT Art Finance	NFTART	nft-art-finance	
3219	WaultSwap	WEX	waultswap	
3220	Dope Wars Paper	PAPER	dope-wars-paper	
3221	toad.network	TOAD	toad-network	
3222	Sishi Finance	SISHI	sishi-finance	
3223	Ethereum Lightning	ETLT	ethereumlightning	
3224	MarketMove	MOVE	marketmove	
3225	MoonLift Protocol	MLTPX	moonlift-protocol	
3226	ASH	ASH	ash	
3227	WiBX	WBX	wibx	
3228	SMD COIN	SMD	smd-coin	
3229	The Forbidden Forest	FORESTPLUS	the-forbidden-forest	
3230	Mineral	MNR	mineral	
3231	Rabbit Finance	RABBIT	rabbit-finance	
3232	Pirate Coin Games	PirateCoin☠	pirate-coin-games	
3233	Celo Euro	CEUR	celo-euro	
3234	MemePad	MEPAD	memepad	
3235	YDragon	YDR	ydragon	
3236	BitBase Token	BTBS	bitbase-token	
3237	E-coin Finance	ECOIN	e-coin-finance	
3238	TKBToken	TKB	tkbtoken	
3239	Blue Baikal	BBC	blue-baikal	
3240	Pampther	PAMPTHER	pampther	
3241	Yetucoin	YETU	yetucoin	
3242	Float Protocol: Float	FLOAT	float-protocol-float	
3243	PrivacySwap	PRV	privacyswap	
3244	Duel Network	DUEL	duel-network	
3245	AirNFTs	AIRT	airnfts	
3246	V-Dimension	VOLLAR	v-dimension	
3247	CREAMPYE	PYE	creampye	
3248	ToolApe	TAPE	toolape	
3249	A2DAO	ATD	a2dao	
3250	The Luxury	TLX	the-luxury	
3251	Arena Token	ARENA	arena-token	
3252	BSB Token	BSBT	bsb-token	
3253	Uno Re	UNO	unore	
3254	Nobility [new]	NBL	nobility-new	
3255	Railgun	RAIL	railgun	
3256	Etherlite	ETL	etherlite	
3257	Thoreum	THOREUM	thoreum	
3258	DefiDollar	DUSD	defidollar	
3259	PUNK Floor	FLOOR	punk-floor	
3260	DGPayment	DGP	dgpayment	
3261	UniversalEnergyChain	UENC	universalenergychain	
3262	MeconCash	MCH	meconcash	
3263	MegaCryptoPolis	MEGA	megacryptopolis	
3264	SpiderDAO	SPDR	spiderdao	
3265	JOJO	JOJO	jojo	
3266	HOPPY	HOP	hoppy	
3267	Sukhavati Network	SKT	sukhavati-network	
3268	Crosschain IOTX	CIOTX	crosschain-iotx	
3269	NiiFi	NIIFI	niifi	
3270	Tesla tokenized stock FTX	TSLA	tesla-tokenized-stock-ftx	
3271	CAPITAL X CELL	CXC	capital-x-cell	
3272	Treecle	TRCL	treecle	
3273	Meter Stable	MTR	meter-stable	
3274	3X Long Altcoin Index Token	ALTBULL	3x-long-altcoin-index-token	
3275	Echoin	EC	echoin	
3276	SwapDEX	SDX	swapdex	
3277	Baby Cake	BABYCAKE	baby-cake	
3278	Bananatok	BNA	bananatok	
3279	Friends With Benefits Pro	FWB	friends-with-benefits-pro	
3280	Minifootball	MINIFOOTBALL	minifootball	
3281	LinkArt	LAR	linkart	
3282	SUP	SUP	sup	
3283	Polycat Finance	FISH	polycat-finance	
3284	Block Monsters	MNSTRS	block-monsters	
3285	DxSale Network	SALE	dxsale-network	
3286	WifeDoge	WIFEDOGE	wifedoge	
3287	GameNFT	GNFT	gamenft	
3288	New BTC	NBTC	new-btc	
3289	MaidCoin	$MAID	maidcoin	
3290	Green Shiba Inu (new)	GINUX	green-shiba-inu-new	
3291	Useless	USELESS	useless	
3292	AquaFi	AQUA	aquafi	
3293	Kulupu	KLP	kulupu	
3294	3X Long Ethereum Classic Token	ETCBULL	3x-long-ethereum-classic-token	
3295	Buff Doge Coin	DOGECOIN	buff-doge-coin	
3296	Identity	IDTT	identity	
3297	Asia Coin	ASIA	asia-coin	
3298	Whole Network	NODE	whole-network	
3299	Yaki Gold	YAG	yaki-gold	
3300	Project Quantum	QBIT	project-quantum	
3301	Lien	LIEN	lien	
3302	Burp	BURP	coinburp	
3303	DogeHouse Capital	DOGEX	dogehouse-capital	
3304	Solminter	SMRT	solminter	
3305	Busy DAO	BUSY	busy	
3306	PetKingdom	PKD	petkingdom	
3307	Agrinoble	AGN	agrinoble	
3308	Equilibria	XEQ	equilibria	
3309	BuffaloSwap	BUFF	buffaloswap	
3310	BULLS	BULLS	bulls	
3311	Based Gold	BGLD	based-gold	
3312	WIZARD	WIZARD	wizard	
3313	TribeOne	HAKA	tribe-one	
3314	Hokkaidu Inu	HOKK	hokkaido-inu	
3315	TOZEX	TOZ	tozex	
3316	Yearn Classic Finance	EARN	yearn-classic-finance	
3317	100xCoin	100X	100xcoin	
3318	Everest Token	EVRT	everest-token	
3319	GLYPH Vault (NFTX)	GLYPH	glyph-vault-nftx	
3320	Intersola	ISOLA	intersola	
3321	Fanadise	FAN	fanadise	
3322	Vancat	VANCAT	vancat	
3323	Rake Finance	RAK	rake-finance	
3324	Binapet	BPET	binapet	
3325	Daisy Launch Pad	DAISY	daisy-launch-pad	
3326	YearnAgnostic Finance	YFIAG	yearnagnostic-finance	
3327	Kava Swap	SWP	kava-swap	
3328	Cake Monster	MONSTA	cake-monster	
3329	Thorstarter	XRUNE	thorstarter	
3330	Kranz Token	KRZ	kranz-token	
3331	RAKUN	RAKU	rakun	
3332	StaySAFU	SAFU	staysafu	
3333	Luxurious Pro Network Token	LPNT	luxurious-pro-network-token	
3334	Fortress Lending	FTS	fortress-lending	
3335	CryptoCart	CC	cryptocart	
3336	Somnium Space Cubes	CUBE	somnium-space-cubes	
3337	Babylons	BABI	babylons	
3338	Combo	COMB	combo	
3339	Ballswap	BSP	ballswap	
3340	ysoy chain farm	YSOY	ysoy-chain-farm	
3341	Moonlana	MOLA	moonlana	
3342	Matic Aave Interest Bearing USDC	MAUSDC	matic-aave-usdc	
3343	Handy	HANDY	handy	
3344	Electric Vehicle Direct Currency	EVDC	electric-vehicle-direct-currency	
3345	Corgiswap	CORIS	corgiswap	
3346	Gondola Finance	GDL	gondola-finance	
3347	Artery Network	ARTR	artery-network	
3348	PureFi Protocol	UFI	purefi-protocol	
3349	Phuture	PHTR	phuture	
3350	GreenTrust	GNT	greentrust	
3351	Bagels Finance	BAGEL	bagels-finance	
3352	B20	B20	b20	
3353	CellETF	ECELL	consensus-cell-network	
3354	Shabu Shabu Finance	KOBE	shabu-shabu-finance	
3355	Hope	HOPE	hope-token	
3356	DFOhub	BUIDL	dfohub	
3357	Pet Games	PETG	pet-games	
3358	RoboFi	VICS	robofi	
3359	renFIL	RENFIL	renfil	
3360	Scaleswap	SCA	scaleswap	
3361	Capital.Finance	CAP	capital-finance	
3362	SYL	SYL	xsl-labs	
3363	Torum	XTM	torum	
3364	Index Cooperative	INDEX	index-cooperative	
3365	Compound Uni	CUNI	compound-uniswap	
3366	Round Dollar	RD	round-dollar	
3367	EA Token	EA	ea-token	
3368	DNFT Protocol	DNF	dnft-protocol	
3369	Adamant	ADMC	adamant	
3370	Alium Finance	ALM	alium-finance	
3371	BattleRoyaleToken	BRTK	battleroyaletoken	
3372	Apple tokenized stock Bittrex	AAPL	apple-tokenized-stock-bittrex	
3373	Hotbit Token	HTB	hotbit-token	
3374	PIGX	PIGX	pigx	
3375	ShibaNova	NOVA	shibanova	
3376	BARREL	BARREL	barrel	
3377	Kaiju Worlds	KAIJU	kaiju-worlds	
3378	AutoShark	JAWS	autoshark	
3379	Jointer	JNTR	jointer	
3380	Dotmoovs	MOOV	dotmoovs	
3381	Biswap	BSW	biswap	
3382	Copiosa Coin	COP	copiosa-coin	
3383	Sashimi	SASHIMI	sashimi	
3384	Volatility Protocol Token	VOL	volatility-protocol-token	
3385	Sienna (ERC20)	wSIENNA	sienna-erc20	
3386	888tron	888	888tron	
3387	One Cash	ONC	one-cash	
3388	Cub Finance	CUB	cub-finance	
3389	Fisco Coin	FSCC	fisco	
3390	Ecochaintoken	ECT	ecochaintoken	
3391	My DeFi Legends	DLEGENDS	my-defi-legends	
3392	Black Eye Galaxy	BYG	black-eye-galaxy	
3393	yffi finance	YFFI	yffi-finance	
3394	Compound Basic Attention Token	CBAT	compound-basic-attention-token	
3395	CaliCoin	CALI	calicoin	
3396	Bonfire	BONFIRE	bonfire	
3397	Solyard Finance	YARD	solyard-finance	
3398	RUSH COIN	RUSH	rush-coin	
3399	LBK	LBK	lbk	
3400	IVOGEL	IVG	ivogel	
3401	Ape-X	APE-X	ape-x	
3402	Deku Inu	DEKU	deku-inu	
3403	PolyShield Finance	SHI3LD	polyshield-finance	
3404	KuSwap	KUS	kuswap	
3405	Empire Token	EMPIRE	empire-token	
3406	NFTrade	NFTD	nftrade	
3407	PlanetWatch	PLANETS	planetwatch	
3408	DeHero	HEROES	dehero	
3409	BlockNoteX	BNOX	blocknotex	
3410	3X Long Algorand Token	ALGOBULL	3x-long-algorand-token	
3411	Mobius Finance	MOT	mobius-finance	
3412	Football Stars	FootballStars	football-stars	
3413	GazeTV	GAZE	gazetv	
3414	Annex Finance	ANN	annex-finance	
3415	Zoe Cash	ZOE	zoe-cash	
3416	Citizen Finance	CIFI	citizen-finance	
3417	SuperBid	SUPERBID	superbid	
3418	Cogecoin	COGE	cogecoin	
3419	Serum Ecosystem Token	SECO	serum-ecosystem-token	
3420	DataHighway	DHX	datahighway	
3421	OwlDAO	OWL	owldao	
3422	Snook	SNK	snook	
3423	Vera	VERA	vera-network	
3424	The Luxury Coin	TLB	the-luxury-coin	
3425	TakoDefi	TAKO	takodefi	
3426	ZORT	ZORT	zort	
3427	Thales	THALES	thales	
3428	QURAS	XQC	quras	
3429	Boring Protocol	BOP	boring-protocol	
3430	Pitbull	PIT	pitbull	
3431	GMR Finance	GMR	gmr-finance	
3432	Tundra Token	TUNDRA	tundra-token	
3433	LavaSwap	LAVA	lavaswap	
3434	TasteNFT	TASTE	tastenft	
3435	Nano Dogecoin	INDC	nano-dogecoin	
3436	Goldblock	GBK	goldblock	
3437	Sensitrust	SETS	sensitrust	
3438	Pinecone Finance	PCT	pinecone-finance	
3439	JackPool.finance	JFI	jackpool-finance	
3440	Astro Gold	ASTROGOLD	astro-gold	
3441	Save Planet Earth	SPE	save-planet-earth	
3442	delta.theta	DLTA	delta-theta	
3443	Polylauncher	ANGEL	polylauncher	
3444	Pacific DeFi	PACIFIC	pacific-defi	
3445	Ultrasafe	ULTRA	ultrasafe	
3446	Ndau	NDAU	ndau	
3447	Vow	VOW	vow	
3448	Connect Financial	CNFI	connect-financial	
3449	Dbook Platform	DBK	dbook-platform	
3450	Mini Floki	MINIFLOKI	mini-floki	
3451	Universe.XYZ	XYZ	universe-xyz	
3452	ZoidPay	ZPAY	zoidpay	
3453	BETFURY	BFG	betfury	
3454	Kevacoin	KVA	kevacoin	
3455	XUSD Stable	XUSD	xusd-stable	
3456	Arix	ARIX	arix	
3457	TON Coin	TONCOIN	toncoin	
3458	Hungarian Vizsla Inu	HVI	hungarian-vizsla-inu	
3459	Locklet	LKT	locklet	
3460	Moonshot	MOONSHOT	moonshot	
3461	nHBTC	N0001	nhbtc	
3462	Sake	SAK3	sake	
3463	Woofy	WOOFY	woofy	
3464	Feyorra	FEY	feyorra	
3465	Storm Token	STORM	storm-token	
3466	3X Long Huobi Token Token	HTBULL	3x-long-huobi-token-token	
3467	Zyro	ZYRO	zyro	
3468	ATTN	ATTN	attn	
3469	Alpaca City	ALPA	alpaca-city	
3470	HiFi Gaming Society	HIFI	hifi-gaming-society	
3471	Axion	AXN	axion	
3472	Australian Safe Shepherd	ASS	australian-safe-shepherd	
3473	FansCoin	FC	fanscoin	
3474	Quantum Assets	QA	quantum-assets	
3475	CNNS	CNNS	cnns	
3476	Memecoin	MEM	meme-coin	
3477	Keysians Network	KEN	keysians-network	
3478	SolanaSail	SAIL	solanasail	
3479	Keanu Inu	KEANU	keanu-inu	
3480	Xiglute Coin	XGC	xiglute-coin	
3481	Bytus	BYTS	bytus	
3482	SafeMars	SMARS	smars	
3483	Experty Wisdom Token	WIS	experty-wisdom-token	
3484	Phantom Protocol	PHM	phantom-protocol	
3485	Quantfury Token	QTF	quantfury-token	
3486	3X Long TRX Token	TRXBULL	3x-long-trx-token	
3487	Polly DeFi nest	NDEFI	polly-defi-nest	
3488	Omni Real Estate Token	ORT	omni-real-estate-token	
3489	Jubi Token	JT	jubi-token	
3490	Papel Token	PAPEL	papel-token	
3491	MY IDENTITY COIN	MYID	my-identity-coin	
3492	Kaiken Inu	KAIECO	kaiken-inu	
3493	Baanx	BXX	baanx	
3494	Uhive	HVE2	uhive	
3495	Inter Milan Fan Token	INTER	inter-milan-fan-token	
3496	Artex	ARTEX	artex	
3497	APWars	WGOLD	apwars	
3498	GIBX Swap	X	gibx-swap	
3499	WaultSwap Polygon	WEXPOLY	waultswap-polygon	
3500	BUMooN	BUMN	bumoon	
3501	Multicoin	MTCN	multicoin	
3502	Daddy Doge	DADDYDOGE	daddy-doge	
3503	Medicalveda	MVEDA	medicalveda	
3504	PayAccept	PAYT	payaccept	
3505	Blizzard.money	xBLZD	blizzard-money	
3506	Siren	SI	siren	
3507	Release Project	REL	release-project	
3508	iOWN Token	iOWN	iown-token	
3509	Cryptofifa	FFA	cryptofifa	
3510	BitBook	BBT	bitbook	
3511	CumStar	CUMSTAR	cumstar	
3512	LCG	LCG	lcg	
3513	Elk Finance	ELK	elk-finance	
3514	LIQ Protocol	LIQ	liq-protocol	
3515	DEFI Top 5 Tokens Index	DEFI5	defi-top-5-tokens-index	
3516	JUST NETWORK	JUS	just-network	
3517	YAM V2	YAMV2	yam-v2	
3518	NFTBlackMarket	NBM	nftblackmarket	
3519	MaticVerse	Mverse	maticverse	
3520	MyToken	MT	mytoken	
3521	Mission Helios	HELIOS	mission-helios	
3522	Premia	PREMIA	premia	
3523	Jack Token	JACK	jack-token	
3524	Scientix	SCIX	scientix	
3525	Netflix tokenized stock Bittrex	NFLX	netflix-tokenized-stock-bittrex	
3526	Swampy	SWAMP	swampy	
3527	PolyDoge	POLYDOGE	polydoge	
3528	Nabox	NABOX	nabox	
3529	Yield Parrot	LORY	yield-parrot	
3530	SolDate Token	DATE	soldate-token	
3531	Prelax	PEA	prelax	
3532	ApeXit Finance	APEX	apexit-finance	
3533	HoneyFarm Finance	HONEY	honeyfarm-finance	
3534	BarbecueSwap Finance	BBQ	barbecueswap-finance	
3535	KittyCake	KCAKE	kittycake	
3536	xToken	XTK	xtoken	
3537	xDAI	xDAI	xdaistable	
3538	Ethermon	EMON	ethermon	
3539	DEGEN Index	DEGEN	degen-index	
3540	Itchiro Games	JEM	itchiro-games	
3541	MCFinance	MCF	mcfinance	
3542	Chainsquare	CHS	chainsquare	
3543	Liti Capital	WLITI	liti-capital	
3544	hi Dollar	HI	hi-dollar	
3545	SmartX	SAT	smartxone	
3546	OBORTECH	OBOT	obortech	
3547	HIPPO TOKEN	HIP	hippo-token	
3548	SafeLaunch	SFEX	safelaunch	
3549	OS	OS	os	
3550	GogolCoin	GOL	gogolcoin	
3551	governance ZIL	GZIL	governance-zil	
3552	Bzzone	BZZONE	bzzone	
3553	DeFIL	DFL	defil	
3554	Husky Avax	HUSKY	husky-avax	
3555	NftyPlay	POLO	nftyplay	
3556	OVERLORD GAME	OVL	overlord-game	
3557	ShibaPup	SHIBAPUP	shibapup	
3558	Cometh	MUST	cometh	
3559	Swop	SWOP	swop	
3560	Alpha5	A5T	alpha5	
3561	Hugo Finance	HUGO	hugo-finance	
3562	Reflex	RFX	reflex	
3563	Alkimi	$ADS	alkimi	
3564	Wrapped Celo	WCELO	wrapped-celo	
3565	LoTerra	LOTA	loterra	
3566	Steak Token	STEAK	steak-token	
3567	TABANK	TAB	tabank	
3568	Floki Shiba	FSHIB	floki-shiba	
3569	Privapp Network	bPRIVA	privapp-network	
3570	Alpha Kombat	ALKOM	alpha-kombat	
3571	Bitcrush	CRUSH	bitcrush	
3572	9532	IMX	impermax	
3573	10593	FLURRY	flurry	
3574	Charged Particles	IONX	charged-particles	
3575	3x Short XRP Token	XRPBEAR	3x-short-xrp-token	
3576	DOJO	DOJO	dojo	
3577	Black Diamond Rating	HZT	black-diamond-rating	
3578	Frenchie Network	FREN	frenchie-network	
3579	Kabosu	KABOSU	kabosu	
3580	REBIT	KEYT	rebit	
3581	KuCoin LaunchPad	KCLP	kucoin-launchpad	
3582	Jenny Metaverse DAO Token	UJENNY	jenny-metaverse-dao-token	
3583	3X Short Ethereum Token	ETHBEAR	3x-short-ethereum-token	
3584	https:		www.slowmist.com	en	security-audit-certificate.html?id=aecd87ca37d6dafe4e6ca23ac973b5167358fe91cb0f9c5277ffb057979e295a	CELEB	celebplus	
3585	Unreal Finance	UGT	unreal-finance	
3586	Corgidoge	CORGI	corgidoge-real-estate-payment	
3587	Xiasi Inu	XIASI	xiasi-inu	
3588	SafeBull	SAFEBULL	safebull	
3589	DUKE INU TOKEN	DUKE	duke-inu-token	
3590	NFT STARS	NFTS	nft-stars	
3591	IFOSwap Token	H2O	ifoswap-token	
3592	CrossWallet	CWT	crosswallet	
3593	LaunchX	LNCHX	launchx	
3594	Evodefi	GENX	evodefi	
3595	Rivex	RVX	rivex	
3596	ROPE Token	ROPE	rope-token	
3597	Safe Earn	SAFEARN	safe-earn	
3598	https:		hacken.io	wp-content	uploads	2021	06	070432021_TosDis_SC_Audit_Second_Review_Report.pdf	DIS	tosdis	
3599	MobiFi	MoFi	mobi-finance	
3600	Real Trump Token V2	RTTV2	real-trump-token-v2	
3601	9178	ELONGATE	elongate	
3602	PearZap	PEAR	pearzap	
3603	Matrixswap	MATRIX	matrixswap	
3604	BabyDogeX	BDOGEX	babydogex	
3605	https:		www.slowmist.com	en	security-audit-certificate.html?id=965894367df970dfda9a9c62c09cab349a71ce626a94e22e24b2f1e27f94966b	HINT	hintchain	
3606	YetiSwap	YTS	yetiswap	
3607	UnderMineGold	UMG	underinegold	
3608	Don't KYC	DKYC	dont-kyc	
3609	Sanshu Inu	SANSHU	sanshu-inu	
3610	Mammon	MMON	mammon	
3611	Dexioprotocol	DEXI	dexioprotocol	
3612	BitUP Token	BUT	bitup-token	
3613	Temtum	TEM	temtum	
3614	2287	LOC	lockchain	
3615	Pfizer tokenized stock Bittrex	PFE	pfizer-tokenized-stock-bittrex	
3616	OpenAlexa Protocol	OAP	openalexa-protocol	
3617	Joys Digital	JOYS	joys-digital	
3618	OEC FIL	FILK	oec-fil	
3619	CoinsPaid	CPD	coinspaid	
3620	Loon Network	LOON	loon-network	
3621	MicroStrategy tokenized stock FTX	MSTR	microstrategy-tokenized-stock-ftx	
3622	Proxy	PRXY	proxy	
3623	WeStarter	WAR	westarter	
3624	YAS	YAS	yas	
3625	VikingsChain	VIKC	vikingschain	
3626	BlackPool	BPT	blackpool	
3627	MemeKiller	KILL	memekiller	
3628	MDUKEY	MDU	mdu	
3629	DRIFE	DRF	drife	
3630	DOOS TOKEN	DOOS	doos-token	
3631	Bitrise Token	BRISE	bitrise-token	
3632	Save Your Assets	SYA	save-your-assets	
3633	Tenshi	TENSHI	tenshi-new	
3634	PolkaMonster	PKMON	polkamonster	
3635	X-Block	IX	x-block	
3636	DACC	DACC	dacc	
3637	Alibaba tokenized stock FTX	BABA	alibaba-tokenized-stock-ftx	
3638	9946	YFX	your-future-exchange	
3639	Mensa Protocol	MENSA	mensa-protocol	
3640	Farmland Protocol	FAR	farmland-protocol	
3641	iTrust.Finance	ITG	itrust-finance	
3642	Small dogecoin	SDOG	small-dogecoin	
3643	SpaceGrime	GRIMEX	spacegrime	
3644	Tether Gold	XAUT	tether-gold	
3645	Alkemi Network DAO Token	ALK	alkemi-network-dao-token	
3646	PUML Better Health	PUML	puml-better-health	
3647	4176	DAPPT	dapp-token	
3648	ACryptoSI	ACSI	acryptosi	
3649	HAPY Coin	HAPY	hapy-coin	
3650	8741	SOVI	sovi-finance	
3651	Moon Nation Game	MNG	moon-nation-game	
3652	yVault LP-yCurve	yVault LP-yCurve(YYCRV)	yvault-lp-ycurve	
3653	Atlantic Finance Token	ATFI	atlantic-finance-token	
3654	7844	ACS	acryptos	
3655	Cryptopia Land Dollar	CLD	cryptopia-land-dollar	
3656	7661	GYSR	gysr	
3657	SaylorMoon	SMOON	saylormoon	
3658	Greenheart CBD	CBD	greenheart-cbd	
3659	bDollar Share	SBDO	bdollar-share	
3660	8943	WHX	whitex	
3661	Mirrored Google	mGOOGL	mirrored-google	
3662	Umbria Network	UMBR	umbria-network	
3663	PhoenixDefi.Finance	PNIX	phoenixdefi-finance	
3664	Avaware	AVE	avaware	
3665	AlinX	ALIX	alinx	
3666	Astronaut	NAUT	astronaut	
3667	Utilies Cryptocurrency eXchange	UCX	utilies-cryptocurrency-exchange	
3668	CLIMB TOKEN FINANCE	CLIMB	climb-token-finance	
3669	Keep3r BSC Network	KP3RB	keep3r-bsc-network	
3670	Moonfarm Finance	MFO	moonfarm-finance	
3671	Altrucoin	ALTRUCOIN	altrucoin	
3672	3X Long Shitcoin Index Token	BULLSHIT	3x-long-shitcoin-index-token	
3673	Fantom Oasis	FTMO	fantom-oasis	
3674	Honey Token	SWEET	honey-token-sweet	
3675	pBTC35A	pBTC35A	pbtc35a	
3676	Zcon Protocol	ZCON	zcon-protocol	
3677	BUILD Finance	BUILD	build-finance	
3678	1X Short XRP Token	XRPHEDGE	1x-short-xrp-token	
3679	The Everlasting Parachain	ELP	the-everlasting-parachain	
3680	Octopus Protocol	OPS	octopus-protocol	
3681	Engine	EGCC	engine	
3682	DAOhaus	HAUS	daohaus	
3683	Xenon Pay	X2P	xenon-pay-ii	
3684	DefiCliq	CLIQ	deficliq	
3685	SafeBitcoin	SAFEBTC	safebtc	
3686	JFIN	JFC	jfin	
3687	Project TXA	TXA	project-txa	
3688	Blocks Space	BLS	blockspace-token	
3689	GameStop tokenized stock FTX	GME	gamestop-tokenized-stock-ftx	
3690	KickPad	KPAD	kickpad	
3691	FlyPaper	STICKY	flypaper	
3692	EpochToken	EPH	epochtoken	
3693	Zero Exchange	ZERO	zero-exchange	
3694	AEN Smart Token	AENS	aen-smart-token	
3695	CompliFi	COMFI	complifi	
3696	WAIV Care	WAIV	waiv-care	
3697	SUCCESS INU	SUCCESS	success-inu	
3698	SPDR S&P 500 ETF tokenized stock FTX	SPY	spdr-sp-500-etf-tokenized-stock-ftx	
3699	YFi Management	YEFIM	yfi-management	
3700	RisingSun	RSUN	risingsun	
3701	Happiness	HPNS	happiness	
3702	RugZombie	ZMBE	rugzombie	
3703	Strite	STRI	strite	
3704	Pera Finance	PERA	pera-finance	
3705	KRYZA Network	KRN	kryza-network	
3706	JINDO INU	JIND	jindo-inu	
3707	pETH18C	pETH18C	peth18c	
3708	Bancor Governance Token	VBNT	bancor-governance-token	
3709	Memenopoly	MNOP	memenopoly-money	
3710	EIDOS	EIDOS	eidos	
3711	Google tokenized stock FTX	GOOGL	google-tokenized-stock-ftx	
3712	SafeHamsters	SAFEHAMSTERS	safehamsters	
3713	Arcona	ARCONA	arcona	
3714	Yuan Chain Coin	YCC	yuan-chain-coin	
3715	Flourish Coin	FLRS	flourish-coin	
3716	LinkPool	LPL	linkpool	
3717	DoveSwap Finance	DOVE	doveswap-finance	
3718	EverETH	EVERETH	evereth	
3719	Dragonbit	DRGB	dragonbit	
3720	Laser Eyes	LASEREYES	laser-eyes	
3721	Global Digital Content	GDC	global-digital-content	
3722	Voice Token	VOICE	nix-bridge-token	
3723	bDollar	BDO	bdollar	
3724	xxxNifty	NSFW	xxxnifty	
3725	BNS Token	BNS	bns-token	
3726	Realfinance Network	REFI	realfinance-network	
3727	Hummingbird Egg Token	HEGG	hummingbird-egg-token	
3728	Infinity Token	IT	infinity-token	
3729	Lucky Unicorn Token	L99	lucky-unicorn-token	
3730	YEL.Finance	YEL	yel-finance	
3731	ChainCade	CHAINCADE	chaincade	
3732	Mirrored Facebook Inc	mFB	mirrored-facebook	
3733	Evai.io	EVAI	evai-io	
3734	Nodeseeds	NDS	nodeseeds	
3735	Dreamr	DMR	dreamr	
3736	MyBricks	$BRICKS	mybricks	
3737	GridZone.io	ZONE	gridzone	
3738	The Recharge	RCG	recharge	
3739	OMNI - People Driven	OMN	omni-token	
3740	Pinkslip Finance	PSLIP	pinkslip-finance	
3741	Sherpa	SHERPA	sherpa	
3742	Sekuritance	SKRT	sekuritance	
3743	Shibaverse	VERSE	shibaverse	
3744	MINDOL	MIN	mindol	
3745	DogeCola	DOGECOLA	dogecola	
3746	Force For Fast	FFF	force-for-fast	
3747	NiftyNFT	NIFTY	niftynft	
3748	DEFFECT	DEF	deffect-ai	
3749	ShieldEX	SLD	shieldex	
3750	Bandot Protocol	BDT	bandot-protocol	
3751	Wifi Coin	WIFI	wifi-coin	
3752	Basis Dollar Share	BSDS	basis-dollar-share	
3753	11305	SAFUYIELD	safuyield-protocol	
3754	10484	IRON	iron-finance	
3755	Meter Governance mapped by Meter.io	eMTRG	meter-governance-mapped-by-meter-io	
3756	Nobunaga Token, NBNG	NBNG	nobunaga-token-nbng	
3757	CoinMetro Token	XCM	coinmetro-token	
3758	EDDASwap	EDDA	eddaswap	
3759	SAFETREES	TREES	safetrees	
3760	SafeCap Token	SFC	safecap-token	
3761	PolygonFarm Finance	SPADE	polygonfarm-finance	
3762	GrimToken	GRIM	grimtoken	
3763	Eloin	ELOIN	eloin	
3764	Vinci	VINCI	vinci	
3765	Zilswap	ZWAP	zilswap	
3766	Golden Doge	GDOGE	golden-doge	
3767	10279	LESS	less-network	
3768	FlatSwap	FSWAP	flatswap	
3769	Polkaswap	PSWAP	polkaswap	
3770	Matic Aave Interest Bearing WETH	MAWETH	matic-aave-weth	
3771	Liquidity Dividends Protocol	LID	liquidity-dividends-protocol	
3772	PooCoin	POOCOIN	poocoin	
3773	Tycoon	TYC	tycoon	
3774	SWAPP Protocol	SWAPP	swapp-protocol	
3775	https:		www.slowmist.com	en	security-audit-certificate.html?id=ee35592f2049403bceddfc2147cef82b7ab25452766c4fd6de5cd2a9740368f7	BMP	brother-music-platform	
3776	EmiSwap	ESW	emiswap	
3777	DeFiPie	PIE	defipie	
3778	KONG Land	$CITIZEN	kong-land	
3779	9457	SHIELDNET	shield-network	
3780	Interest Bearing Defi Pulse Index	BDPI	interest-bearing-dpi	
3781	Kauri	KAU	kauri-crypto	
3782	junca Cash	JCC	junca-cash	
3783	Billion	BILL	billion	
3784	InvestDex	INVEST	investdex	
3785	HASH Token	HASH	hash-token	
3786	ZCore Finance	ZEFI	zcore-finance	
3787	My Pet Social	MPS	my-pet-social	
3788	Blockchain Exchange Alliance	BXA	blockchain-exchange-alliance	
